2015-08-14 12:16:48: -- Analysis Started by User
2015-08-14 12:16:55: /plugin.video.nbafullgames/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/commondownloader.py: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/commondownloader.pyo: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/default.py: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/fanart.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/icon.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/LICENSE.txt: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/plugin.video.nbafullgames-2.0.zip: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/resources/media/nba_date.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/resources/media/nba_full_games.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/resources/media/nba_games.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/resources/media/nba_month.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/resources/media/nba_nbacom.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/resources/media/nba_next.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/resources/media/nba_other.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/resources/media/nba_playlists.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/resources/media/nba_search.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/resources/media/nba_teams.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/resources/media/nba_youtube.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.nbafullgames/resources/settings.xml: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/default.py: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/fanart.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icon.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/All_Shows.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/AZ.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Favourites.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Genre.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/icon.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Last_24_Hours.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Last_3_Days.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Last_7_Days.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Last_90_Days.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Latest_Added.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Movies.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Next.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Popular.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Search.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Settings.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/This_Month.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/TV_Shows.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Upcoming.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/icons/simple/Year.png: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/pftvso.py: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/pftvso.pyo: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/plugin.video.pftvso-0.0.1.rar: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/plugin.video.pftvso-0.0.1.zip: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/plugin.video.pftvso-0.0.2.zip: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/plugin.video.pftvso-0.0.3.zip: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/plugin.video.pftvso-0.0.4.zip: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/plugin.video.pftvso-0.0.5.zip: Conflict: New files that differ
2015-08-14 12:16:55: /plugin.video.pftvso/resources/settings.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.image.garfield_comic/addon.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.image.garfield_comic/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.image.garfield_comic/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.image.garfield_comic/icon.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.image.garfield_comic/LICENSE.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.image.garfield_comic/plugin.image.garfield_comic-1.0.0.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/commondownloader.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/commondownloader.pyo: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/default.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/functions.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/functions.pyo: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/icon.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/LICENSE.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/plugin.video.croatia_od-0.6.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/plugin.video.croatia_od-0.61.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/plugin.video.croatia_od-0.62.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/plugin.video.croatia_od-0.63.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/plugin.video.croatia_od-0.7.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/plugin.video.croatia_od-0.71.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/plugin.video.croatia_od-0.8.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/plugin.video.croatia_od-0.81.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/plugin.video.croatia_od-0.9.1.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/plugin.video.croatia_od-0.9.2.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/plugin.video.croatia_od-0.9.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.croatia_od/resources/settings.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.filmovita/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.filmovita/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.filmovita/default.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.filmovita/icon.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.filmovita/LICENSE.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.filmovita/plugin.video.filmovita-0.1.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.filmovita/plugin.video.filmovita-0.2.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.filmovita/plugin.video.filmovita-0.21.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.filmovita/plugin.video.filmovita-0.5.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.filmovita/plugin.video.filmovita-0.6.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.filmovita/plugin.video.filmovita-0.7.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.footballking/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.footballking/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.footballking/default.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.footballking/icon.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.footballking/LICENSE.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.footballking/plugin.video.footballking-0.0.1.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/commondownloader.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/commondownloader.pyo: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/default.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/fanart.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/icon.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/LICENSE.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/plugin.video.nbafullgames-1.2.0.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/plugin.video.nbafullgames-1.2.5.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/plugin.video.nbafullgames-1.2.51.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/plugin.video.nbafullgames-1.3.1.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/plugin.video.nbafullgames-1.3.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/plugin.video.nbafullgames-1.4.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/plugin.video.nbafullgames-2.0.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/resources/media/nba_date.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/resources/media/nba_full_games.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/resources/media/nba_games.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/resources/media/nba_month.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/resources/media/nba_nbacom.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/resources/media/nba_next.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/resources/media/nba_other.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/resources/media/nba_playlists.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/resources/media/nba_search.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/resources/media/nba_teams.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/resources/media/nba_youtube.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.nbafullgames/resources/settings.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/default.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/fanart.jpg: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icon.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/All_Shows.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/AZ.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Favourites.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Genre.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/icon.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Last_24_Hours.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Last_3_Days.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Last_7_Days.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Last_90_Days.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Latest_Added.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Movies.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Next.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Popular.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Search.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Settings.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/This_Month.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/TV_Shows.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Upcoming.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/icons/simple/Year.png: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/pftvso.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/pftvso.pyo: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/plugin.video.pftvso-0.0.1.rar: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/plugin.video.pftvso-0.0.1.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/plugin.video.pftvso-0.0.2.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/plugin.video.pftvso-0.0.3.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/plugin.video.pftvso-0.0.4.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/plugin.video.pftvso-0.0.5.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.pftvso/resources/settings.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.traktus/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.traktus/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.traktus/default.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.traktus/LICENSE.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.traktus/plugin.video.traktus-0.0.1~alpha1.zip: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.traktus/resources/settings.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/addon.xml: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/changelog.txt: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/default.py: Conflict: New files that differ
2015-08-14 12:16:55: /zips/plugin.video.ytchannels/icon.png: Conflict: New files that differ
